Match ID,Match Date,Stadium,Home Team,Home Points,Guest Team,Guest Points
6379,2022-11-06,arena,narbonne,0,nantes rezé,3
6378,2022-11-06,coubertin,st-nazaire,3,nice,1
6380,2022-11-06,stab vélodrome,tourcoing,1,plessis-robinson,3
6381,2022-11-11,trocardière,nantes rezé,3,tourcoing,2
6382,2022-11-12,espace omnisports,plessis-robinson,1,nice,3
6385,2022-11-12,arena,narbonne,3,sète,2
6383,2022-11-12,vanpoulle,cambrai,1,st-nazaire,3
6384,2022-11-13,robert grenon,tours,3,paris,0
6386,2022-11-13,palestra,chaumont,3,poitiers,0
6387,2022-11-13,chaban delmas,montpellier,3,toulouse,0
6390,2022-11-18,coubertin,st-nazaire,0,nantes rezé,3
6391,2022-11-19,andré brouat,toulouse,3,chaumont,2
6388,2022-11-19,gianmarchi-palmeira,nice,3,cambrai,0
6389,2022-11-19,lawson body,poitiers,3,tours,0
6392,2022-11-20,louis marty,sète,2,plessis-robinson,3
6393,2022-11-20,stab vélodrome,tourcoing,3,montpellier,0
6394,2022-11-21,pierre charpy,paris,1,narbonne,3
6395,2022-11-25,contact arena,tourcoing,1,tours,3
6401,2022-11-26,pierre charpy,paris,3,poitiers,0
6396,2022-11-26,espace omnisports,plessis-robinson,0,st-nazaire,3
6397,2022-11-26,chaban delmas,montpellier,3,cambrai,0
6398,2022-11-26,trocardière,nantes rezé,3,toulouse,1
6399,2022-11-26,arena,narbonne,3,nice,0
6400,2022-11-26,palestra,chaumont,3,sète,1
6402,2022-12-02,andré brouat,toulouse,3,tourcoing,1
6403,2022-12-03,gianmarchi-palmeira,nice,3,poitiers,2
6404,2022-12-03,louis marty,sète,3,montpellier,2
6405,2022-12-03,coubertin,st-nazaire,2,paris,3
6406,2022-12-03,vanpoulle,cambrai,1,narbonne,3
6407,2022-12-03,trocardière,nantes rezé,3,chaumont,0
6408,2022-12-03,robert grenon,tours,3,plessis-robinson,0
6413,2022-12-09,palestra,chaumont,3,montpellier,0
6411,2022-12-10,salle maréchal,tourcoing,3,nice,0
6409,2022-12-10,espace omnisports,plessis-robinson,3,toulouse,2
6410,2022-12-10,lawson body,poitiers,3,cambrai,0
6412,2022-12-10,robert grenon,tours,3,nantes rezé,0
6414,2022-12-10,pierre charpy,paris,3,sète,0
6415,2022-12-11,arena,narbonne,0,st-nazaire,3
6416,2022-12-15,andré brouat,toulouse,1,paris,3
6421,2022-12-16,coubertin,st-nazaire,3,tourcoing,2
6417,2022-12-17,espace omnisports,plessis-robinson,1,nantes rezé,3
6419,2022-12-17,gianmarchi-palmeira,nice,3,chaumont,1
6418,2022-12-17,louis marty,sète,2,poitiers,3
6420,2022-12-17,vanpoulle,cambrai,1,tours,3
6422,2022-12-17,chaban delmas,montpellier,0,narbonne,3
6424,2022-12-30,arena,narbonne,0,toulouse,3
6423,2022-12-30,lawson body,poitiers,1,st-nazaire,3
6426,2022-12-30,palestra,chaumont,3,cambrai,0
6427,2022-12-30,trocardière,nantes rezé,3,nice,0
6428,2022-12-30,stab vélodrome,tourcoing,0,sète,3
6429,2022-12-30,robert grenon,tours,3,montpellier,0
6425,2023-02-15,pierre charpy,paris,1,plessis-robinson,3
6430,2023-01-05,louis marty,sète,3,toulouse,0
6435,2023-01-06,palestra,chaumont,0,tours,3
6431,2023-01-07,gianmarchi-palmeira,nice,1,st-nazaire,3
6432,2023-01-07,espace omnisports,plessis-robinson,1,tourcoing,3
6433,2023-01-07,vanpoulle,cambrai,0,nantes rezé,3
6434,2023-01-07,chaban delmas,montpellier,3,paris,2
6436,2023-01-08,arena,narbonne,3,poitiers,2
6439,2023-01-13,coubertin,st-nazaire,3,chaumont,1
6437,2023-01-14,pierre charpy,paris,3,nice,2
6440,2023-01-14,andré brouat,toulouse,1,montpellier,3
6441,2023-01-14,contact arena,tourcoing,3,cambrai,0
6438,2023-01-14,lawson body,poitiers,3,plessis-robinson,2
6442,2023-01-14,trocardière,nantes rezé,3,sète,1
6443,2023-01-15,robert grenon,tours,2,narbonne,3
6444,2023-01-20,pierre charpy,paris,1,tours,3
6445,2023-01-21,espace omnisports,plessis-robinson,1,narbonne,3
6446,2023-01-21,louis marty,sète,3,st-nazaire,0
6448,2023-01-21,vanpoulle,cambrai,2,nice,3
6449,2023-01-21,palestra,chaumont,3,toulouse,0
6450,2023-01-21,chaban delmas,montpellier,1,tourcoing,3
6447,2023-01-21,trocardière,nantes rezé,2,poitiers,3
6456,2023-01-27,arena,narbonne,2,chaumont,3
6453,2023-01-28,andré brouat,toulouse,3,cambrai,1
6452,2023-01-28,gianmarchi-palmeira,nice,1,sète,3
6451,2023-01-28,lawson body,poitiers,1,paris,3
6454,2023-01-28,coubertin,st-nazaire,3,plessis-robinson,1
6455,2023-01-28,robert grenon,tours,3,tourcoing,2
6457,2023-01-28,chaban delmas,montpellier,2,nantes rezé,3
6464,2023-02-03,pierre charpy,paris,0,st-nazaire,3
6458,2023-02-04,espace omnisports,plessis-robinson,1,chaumont,3
6462,2023-02-04,salle maréchal,tourcoing,3,toulouse,0
6459,2023-02-04,louis marty,sète,3,tours,1
6460,2023-02-04,lawson body,poitiers,3,nice,0
6461,2023-02-04,vanpoulle,cambrai,1,montpellier,3
6463,2023-02-04,trocardière,nantes rezé,0,narbonne,3
6465,2023-02-09,andré brouat,toulouse,3,poitiers,0
6469,2023-02-10,chaban delmas,montpellier,3,sète,1
6466,2023-02-11,gianmarchi-palmeira,nice,3,plessis-robinson,1
6467,2023-02-11,palestra,chaumont,2,nantes rezé,3
6468,2023-02-11,coubertin,st-nazaire,0,tours,3
6470,2023-02-12,stab vélodrome,tourcoing,3,paris,0
6471,2023-02-12,arena,narbonne,3,cambrai,0
6472,2023-02-17,trocardière,nantes rezé,3,st-nazaire,0
6478,2023-02-18,pierre charpy,paris,3,toulouse,1
6473,2023-02-18,espace omnisports,plessis-robinson,3,montpellier,1
6476,2023-02-18,gianmarchi-palmeira,nice,3,narbonne,0
6474,2023-02-18,lawson body,poitiers,1,tourcoing,3
6475,2023-02-18,louis marty,sète,3,chaumont,1
6477,2023-02-18,robert grenon,tours,3,cambrai,0
6479,2023-02-24,robert grenon,tours,3,poitiers,0
6484,2023-02-25,andré brouat,toulouse,3,st-nazaire,0
6485,2023-02-25,salle maréchal,tourcoing,0,narbonne,3
6480,2023-02-25,vanpoulle,cambrai,0,sète,3
6481,2023-02-25,palestra,chaumont,3,paris,0
6482,2023-02-25,chaban delmas,montpellier,3,nice,1
6483,2023-02-25,trocardière,nantes rezé,3,plessis-robinson,0
6490,2023-03-03,arena,narbonne,3,montpellier,2
6486,2023-03-04,gianmarchi-palmeira,nice,0,tourcoing,3
6487,2023-03-04,espace omnisports,plessis-robinson,3,tours,2
6488,2023-03-04,lawson body,poitiers,3,chaumont,2
6489,2023-03-04,coubertin,st-nazaire,3,cambrai,0
6491,2023-03-05,louis marty,sète,3,paris,0
6493,2023-03-10,pierre charpy,paris,0,nantes rezé,3
6494,2023-03-11,louis marty,sète,2,narbonne,3
6495,2023-03-11,vanpoulle,cambrai,2,plessis-robinson,3
6496,2023-03-11,palestra,chaumont,3,nice,0
6497,2023-03-11,robert grenon,tours,2,toulouse,3
6498,2023-03-11,chaban delmas,montpellier,2,poitiers,3
6499,2023-03-12,stab vélodrome,tourcoing,3,st-nazaire,1
6503,2023-03-17,palestra,chaumont,3,tourcoing,0
6500,2023-03-18,gianmarchi-palmeira,nice,3,toulouse,2
6501,2023-03-18,espace omnisports,plessis-robinson,1,sète,3
6502,2023-03-18,vanpoulle,cambrai,2,poitiers,3
6504,2023-03-18,coubertin,st-nazaire,1,montpellier,3
6505,2023-03-18,trocardière,nantes rezé,0,tours,3
6506,2023-03-19,arena,narbonne,3,paris,1
6507,2023-03-25,pierre charpy,paris,3,cambrai,1
6508,2023-03-25,lawson body,poitiers,3,sète,2
6509,2023-03-25,coubertin,st-nazaire,3,narbonne,2
6510,2023-03-25,andré brouat,toulouse,1,plessis-robinson,3
6511,2023-03-25,stab vélodrome,tourcoing,2,nantes rezé,3
6512,2023-03-25,robert grenon,tours,3,nice,0
6513,2023-03-25,chaban delmas,montpellier,2,chaumont,3
6916,2023-04-08,robert grenon,tours,3,montpellier,1
6917,2023-04-08,trocardière,nantes rezé,3,sète,2
6918,2023-04-08,palestra,chaumont,3,st-nazaire,0
6919,2023-04-08,arena,narbonne,3,tourcoing,1
6920,2023-04-10,robert grenon,tours,3,montpellier,0
6921,2023-04-10,trocardière,nantes rezé,3,sète,1
6922,2023-04-10,palestra,chaumont,3,st-nazaire,1
6923,2023-04-10,arena,narbonne,0,tourcoing,3
6924,2023-04-14,chaban delmas,montpellier,1,tours,3
6925,2023-04-14,louis marty,sète,0,nantes rezé,3
6926,2023-04-14,coubertin,st-nazaire,3,chaumont,1
6927,2023-04-14,stab vélodrome,tourcoing,3,narbonne,2
6946,2023-04-16,stab vélodrome,tourcoing,2,narbonne,3
6955,2023-04-16,coubertin,st-nazaire,3,chaumont,0
6956,2023-04-19,palestra,chaumont,3,st-nazaire,2
6957,2023-04-19,arena,narbonne,1,tourcoing,3
6958,2023-04-23,mangin beaulieu,nantes rezé,3,chaumont,0
6959,2023-04-23,robert grenon,tours,3,tourcoing,2
6960,2023-04-26,stab vélodrome,tourcoing,1,tours,3
6961,2023-04-26,palestra,chaumont,3,nantes rezé,0
6986,2023-04-29,trocardière,nantes rezé,0,chaumont,3
6988,2023-05-06,palestra,chaumont,3,tours,0
6989,2023-05-13,robert grenon,tours,3,chaumont,0
